name,date,height,weight,Source
Jack Smith,4/1/2019,185,91,CSVtest.csv
Jack Black,4/2/2019,183,91,CSVtest.csv
Brock Bricks,4/10/2019,185,95,CSVtest2.csv
Jack Brack,6/7/2019,172,91,CSVtest2.csv
Tom Thumb,12/25/1492,3,1,CSVtest3.csv
Harry Houdini,1/1/2111,111,11,CSVtest3.csv
Jack Smith,4/1/2019,185,91,NewCombinedFile_2020-10-17.csv
Jack Black,4/2/2019,183,91,NewCombinedFile_2020-10-17.csv
Brock Bricks,4/10/2019,185,95,NewCombinedFile_2020-10-17.csv
Jack Brack,6/7/2019,172,91,NewCombinedFile_2020-10-17.csv
Jen Smith,2019-05-02 00:00:00,153,50,NewCombinedFile_2020-10-17.csv
Sam Smith,2019-01-02 00:00:00,160,55,NewCombinedFile_2020-10-17.csv
Rock Royden,2019-05-02 00:00:00,160,52,NewCombinedFile_2020-10-17.csv
Brandon Snads,2019-10-02 00:00:00,175,80,NewCombinedFile_2020-10-17.csv
Jane Smith,09/02/2019,170,75,NewCombinedFile_2020-10-17.csv
Jane Jackson,09/03/2019,172,74,NewCombinedFile_2020-10-17.csv
Becky Jackson,04/03/2019,165,70,NewCombinedFile_2020-10-17.csv
John Smith,02/08/2019,180,100,NewCombinedFile_2020-10-17.csv
John Smithe,03/08/2019,185,101,NewCombinedFile_2020-10-17.csv
Brett Smithe,05/08/2019,179,99,NewCombinedFile_2020-10-17.csv
Jen Smith,2019-05-02 00:00:00,153,50,EXCELtest.xlsx
Sam Smith,2019-01-02 00:00:00,160,55,EXCELtest.xlsx
Rock Royden,2019-05-02 00:00:00,160,52,EXCELtest2.xlsx
Brandon Snads,2019-10-02 00:00:00,175,80,EXCELtest2.xlsx
Peter Pan,2003-01-02 00:00:00,105,42,EXCELtest3.xlsx
Tom Dicknharry,2006-02-04 00:00:00,199,99,EXCELtest3.xlsx
Jane Smith,09/02/2019,170,75,JSONtest.json
Jane Jackson,09/03/2019,172,74,JSONtest2.json
Becky Jackson,04/03/2019,165,70,JSONtest3.json
Mary Worth,12/11/2010,120,50,JSONtest4.json
John Smith,02/08/2019,180,100,XMLtest.xml
John Smithe,03/08/2019,185,101,XMLtest2.xml
Brett Smithe,05/08/2019,179,99,XMLtest3.xml
Ali Ababwa,07/04/1322,160,60,XMLtest4.xml
